# Simple Icons title, verified source domain and display colour
2k	2K	2k.com	DD0700
spigotmc	SpigotMC	spigotmc.org	ED8106
gotomeeting	GoToMeeting	gotomeeting.com	F68D2E
irobot	iRobot	irobot.com	6CB86A
toyota	Toyota	toyota.com	EB0A1E
gatling	Gatling	gatling.io	FF9E2A
freelancer	Freelancer	freelancer.com	29B2FE
padlet	Padlet	padlet.com	FF4081
castbox	Castbox	castbox.fm	F55B23
1001tracklists	1001Tracklists	1001tracklists.com	40AEF0
tacobell	Taco Bell	tacobell.com	AAB6C2
moqups	Moqups	moqups.com	006BE5
cyberdefenders	CyberDefenders	cyberdefenders.org	335EEA
okcupid	okcupid	okcupid.com	AAB6C2
beekeeperstudio	Beekeeper Studio	beekeeperstudio.io	FAD83B
bvg	BVG	bvg.de	F0D722
netgear	NETGEAR	netgear.de	AAB6C2
sifive	SiFive	sifive.com	AAB6C2
woocommerce	WooCommerce	woocommerce.com	96588A
airbus	Airbus	airbus.com	AAB6C2
moodle	Moodle	moodle.com	F98012
kia	Kia	kia.com	AAB6C2
omarchy	Omarchy	omarchy.org	9ECE6A
chatbot	ChatBot	chatbot.design	0066FF
astonmartin	Aston Martin	astonmartin.com	00665E
liquibase	Liquibase	liquibase.com	2962FF
guilded	Guilded	guilded.gg	F5C400
500px	500px	500px.com	AAB6C2
weasyl	Weasyl	weasyl.com	AAB6C2
codesandbox	CodeSandbox	codesandbox.io	AAB6C2
unstop	Unstop	unstop.com	AAB6C2
abbvie	Abbvie	abbvie.com	AAB6C2
razorpay	Razorpay	razorpay.com	AAB6C2
kleinanzeigen	Kleinanzeigen	kleinanzeigen.de	AAB6C2
eyeem	EyeEm	eyeem.com	AAB6C2
pdq	PDQ	pdq.com	AAB6C2
gojek	Gojek	gojek.com	00AA13
srgssr	SRG SSR	srgssr.ch	AF001E
coffeescript	CoffeeScript	coffeescript.org	AAB6C2
uml	UML	uml.org	FABD14
magic	Magic	magic.link	6851FF
nicehash	NiceHash	nicehash.com	FBC342
mangaupdates	MangaUpdates	mangaupdates.com	FF8C15
showpad	Showpad	showpad.com	AAB6C2
airtransat	Air Transat	airtransat.com	AAB6C2
tether	Tether	tether.to	50AF95
dash0	Dash0	dash0.com	EA3D3B
komoot	Komoot	komoot.com	6AA127
rasa	Rasa	rasa.com	5A17EE
winamp	Winamp	winamp.com	F93821
stencyl	Stencyl	stencyl.com	AAB6C2
porkbun	Porkbun	porkbun.design	EF7878
camunda	Camunda	camunda.com	FC5D0D
mailtrap	Mailtrap	mailtrap.io	22D172
fedex	FedEx	fedex.com	AAB6C2
keenetic	Keenetic	keenetic.com	009EE2
carto	Carto	carto.com	EB1510
odoo	Odoo	odoo.com	714B67
arc	Arc	arc.net	FCBFBD
paddypower	Paddy Power	paddypower.com	AAB6C2
virgin	Virgin	virgin.com	E10A0A
seagate	Seagate	seagate.com	6EBE49
fontforge	FontForge	fontforge.org	F2712B
arlo	Arlo	arlo.com	49B48A
airtable	Airtable	airtable.com	18BFFF
unacademy	Unacademy	unacademy.com	08BD80
activitypub	ActivityPub	activitypub.rocks	F1007E
coppel	Coppel	coppel.com	0266AE
circuitverse	CircuitVerse	circuitverse.org	42B883
loops	Loops	loops.so	FC5200
turso	Turso	turso.tech	4FF8D2
bookmyshow	BookMyShow	bookmyshow.com	C4242B
jpeg	JPEG	jpeg.org	8A8A8A
stubhub	StubHub	stubhub.com	AAB6C2
openssl	OpenSSL	openssl.org	AAB6C2
fujifilm	Fujifilm	fujifilm.com	FB0020
totvs	TOTVS	totvs.com	AAB6C2
bento	Bento	bento.me	768CFF
jenkins	Jenkins	jenkins.io	D24939
drizzle	Drizzle	drizzle.team	C5F74F
ebox	EBOX	ebox.ca	BE2323
languagetool	LanguageTool	languagetool.org	45A1FC
postiz	Postiz	postiz.com	612BD3
